i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;107;964.0;0.06951566951566951;0.012959152666058035;0.009345794392523364;0.9999999999999997;0.1111111111111111;0.9973888598742788;0.48148148148148145;0.00333382007458774;0.07407407407407407;0.9999999310621962;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.06575498575498576;0.40437284149364294;0.3048433048433048;-1.2387798945435686;0.25;-0.3925705719499053;0.25;3.171241896892463;0.016704344277967874;-1.1882700245361815;0.25;9.883646559436098;0.001;31.891568430898477;0.001
1;107;963.0;0.06564102564102565;0.02556733425973305;0.009345794392523364;0.9999999999999997;0.5185185185185185;0.0011383775864635356;0.48148148148148145;0.00333382007458774;0.037037037037037035;1.0;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.06461538461538462;0.4164441470341992;0.3048433048433048;-1.2360657891139717;0.25;10.100037181561332;0.001;3.1522981675955317;0.016989379564187522;-1.2883687732341116;0.25;7.276539139394517;0.001;31.488587426526415;0.001
2;107;1373.0;0.0686039886039886;0.00734667643692043;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.4444444444444444;0.00889018684023524;0.07407407407407407;0.9999999310621962;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.06723646723646724;0.3987552600430954;0.3048433048433048;-1.2259727237364666;0.25;-0.29084848242045463;0.25;2.6816333511069117;0.02597556741549149;-1.1882700245361815;0.25;7.621380870181659;0.001;31.80666548208603;0.001
3;107;994.0;0.09230769230769231;0.01691900914410095;0.009345794392523364;0.9999999999999997;0.48148148148148145;0.00333382007458774;0.4444444444444444;0.00889018684023524;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.07965811965811966;0.36301529824126283;0.3048433048433048;-1.2334037415226997;0.25;8.613478138602657;0.001;3.4184019246397996;0.013411528731936764;-1.2406759252838047;0.25;10.000094359278396;0.001;31.425713577324924;0.001
4;107;1085.0;0.07236467236467237;0.00841090132400323;0.009345794392523364;0.9999999999999997;0.1111111111111111;0.9973888598742788;0.4444444444444444;0.00889018684023524;0.07407407407407407;0.9999999310621962;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.06723646723646724;0.3987552600430954;0.3048433048433048;-1.32045286175628;0.25;-0.29084848242045463;0.25;2.6816333511069117;0.02597556741549149;-1.1882700245361815;0.25;9.889738153695044;0.001;31.80666548208603;0.001
5;107;1116.0;0.07532763532763533;0.007101946875374677;0.009345794392523364;0.9999999999999997;0.5185185185185185;0.0011383775864635356;0.18518518518518517;0.7536974563793281;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.07361823361823362;0.38046303337488224;0.3048433048433048;-1.2285504695793337;0.25;10.028624324765442;0.001;-0.5759734705086028;0.25;-1.2406759252838047;0.25;9.937765447182526;0.001;31.599059692235528;0.001
6;107;800.0;0.07897435897435898;0.021985744060202435;0.028037383177570093;0.999999999999476;0.48148148148148145;0.00333382007458774;0.4444444444444444;0.00889018684023524;0.1111111111111111;0.9973888598742788;0.4074074074074074;0.02166982723648196;1.0;1.027253325734171e-15;0.07088319088319087;0.3963065411667428;0.3048433048433048;-0.40010085872874285;0.25;8.701087696480869;0.001;3.2966575685820607;0.01493911986955121;-1.1643692924076632;0.25;6.151985148824011;0.0013718113235334554;30.98978947247695;0.001
7;106;1096.0;0.09367521367521367;0.025454684671615015;0.009522130135778522;1.0;0.5185185185185185;0.0011383775864635356;0.5185185185185185;0.0011383775864635356;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.08535612535612536;0.3469490791957259;0.301994301994302;-1.311769389897881;0.25;9.98823284517289;0.001;4.965508723878216;0.0035691392357913225;-0.926247244282392;0.25;9.995310225926522;0.001;31.184321382573764;0.001
8;106;1208.0;0.07441595441595442;0.016862769261874258;0.028830894022218303;0.9999999959794633;0.18518518518518517;0.7536974563793281;0.48148148148148145;0.00333382007458774;0.1111111111111111;0.9973888598742788;0.37037037037037035;0.04843826268679447;1.0;1.027253325734171e-15;0.06883190883190883;0.404467503620299;0.301994301994302;-1.213947991074421;0.25;0.11553399311543897;0.25;3.4246076024113057;0.013338182041074736;-0.962577684615877;0.25;4.946951269749924;0.0036243937561131947;31.43732806634087;0.001
9;107;1035.0;0.08706552706552706;0.011829115067378507;0.009345794392523364;0.9999999999999997;0.1111111111111111;0.9973888598742788;0.4444444444444444;0.00889018684023524;0.07407407407407407;0.9999999310621962;0.4074074074074074;0.02166982723648196;1.0;1.027253325734171e-15;0.06723646723646724;0.3987552600430954;0.3048433048433048;-1.2436607402157216;0.25;-0.29084848242045463;0.25;2.6816333511069117;0.02597556741549149;-1.1882700245361815;0.25;6.205877003488171;0.001315105007043153;31.80666548208603;0.001
10;107;1564.0;0.06541310541310541;0.008280024974845373;0.037383177570093455;0.9999995978128337;0.4444444444444444;0.00889018684023524;0.48148148148148145;0.00333382007458774;0.07407407407407407;0.9999999310621962;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.061424501424501426;0.4278084034351749;0.3048433048433048;-0.1888158897393369;0.25;7.381088219752898;0.001;2.860578796347514;0.02208253127949472;-1.2478034318992384;0.25;8.571112479108029;0.001;31.169479451298145;0.001
11;107;1024.0;0.07076923076923076;0.008706235210069538;0.018691588785046728;0.9999999999999998;0.18518518518518517;0.7536974563793281;0.4444444444444444;0.00889018684023524;0.07407407407407407;0.9999999310621962;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.06792022792022791;0.39873656781598193;0.3048433048433048;-0.9288745215163425;0.25;0.13121192231646125;0.25;2.8313735729774625;0.022673734466804162;-1.1882700245361815;0.25;0.3072684699500793;0.25;31.738851667729055;0.001
12;107;1101.0;0.07430199430199431;0.012877124153461388;0.009345794392523364;0.9999999999999997;0.18518518518518517;0.7536974563793281;0.48148148148148145;0.00333382007458774;0.1111111111111111;0.9973888598742788;0.4074074074074074;0.02166982723648196;1.0;1.027253325734171e-15;0.06609686609686609;0.413049665286912;0.3048433048433048;-1.24225116816862;0.25;0.672127212848432;0.17426019721044125;3.365829715575129;0.014050090236929165;-1.0136076514660606;0.25;6.070804758249446;0.0014621722199333774;31.430521702262194;0.001
13;107;1365.0;0.06997150997150997;0.007391468548855738;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.4444444444444444;0.00889018684023524;0.07407407407407407;0.9999999310621962;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.06723646723646724;0.3987552600430954;0.3048433048433048;-1.0171043206086077;0.25;-0.29084848242045463;0.25;2.6816333511069117;0.02597556741549149;-1.1882700245361815;0.25;10.284640675873597;0.001;31.80666548208603;0.001
14;107;935.0;0.08501424501424502;0.010218737960592424;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.4444444444444444;0.00889018684023524;0.07407407407407407;0.9999999310621962;0.07407407407407407;0.9999999310621962;1.0;1.027253325734171e-15;0.06723646723646724;0.3987552600430954;0.3048433048433048;-1.3109978752039033;0.25;-0.29084848242045463;0.25;2.6816333511069117;0.02597556741549149;-1.1882700245361815;0.25;-0.9292762544500822;0.25;31.80666548208603;0.001
15;106;1329.0;0.08022792022792023;0.012043042270595505;0.04787515429377535;0.9988280268093097;0.48148148148148145;0.00333382007458774;0.14814814814814814;0.9356622290518453;0.07407407407407407;0.9999999310621962;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.0717948717948718;0.38186902337893747;0.301994301994302;0.37776147127275117;0.23315717215364512;8.56526885935642;0.001;-0.8548825282482261;0.25;-1.2773777087658056;0.25;8.459275508175327;0.001;31.727765363569585;0.001
16;107;696.0;0.06814814814814814;0.014147544933987994;0.018691588785046728;0.9999999999999998;0.18518518518518517;0.7536974563793281;0.4444444444444444;0.00889018684023524;0.07407407407407407;0.9999999310621962;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.06792022792022791;0.39873656781598193;0.3048433048433048;-0.9033879005205145;0.25;0.13121192231646125;0.25;2.8313735729774625;0.022673734466804162;-1.1882700245361815;0.25;0.2745613317676586;0.25;31.738851667729055;0.001
17;107;863.0;0.07566951566951567;0.0128980202684178;0.018691588785046728;0.9999999999999998;0.4444444444444444;0.00889018684023524;0.18518518518518517;0.7536974563793281;0.07407407407407407;0.9999999310621962;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.07304843304843305;0.3824715381915067;0.3048433048433048;-0.9392700659464687;0.25;7.327809829880066;0.001;-0.5303117281470716;0.25;-1.2738769853954526;0.25;7.282283454698974;0.001;31.14121230907599;0.001
18;106;1685.0;0.09925925925925927;0.005885593110771776;0.04769881855052019;0.9988883967384679;0.5555555555555556;0.00035235496723871337;0.5555555555555556;0.00035235496723871337;0.07407407407407407;0.9999999310621962;0.5555555555555556;0.00035235496723871337;1.0;1.027253325734171e-15;0.09504273504273504;0.31946066881666013;0.301994301994302;-0.521176994557249;0.25;11.559399158896543;0.001;10.802334835235287;0.001;-1.2034043253984776;0.25;11.32470648371378;0.001;31.76024072029347;0.001
19;107;1105.0;0.09618233618233617;0.012520805717852504;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.4444444444444444;0.00889018684023524;0.07407407407407407;0.9999999310621962;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.06723646723646724;0.3987552600430954;0.3048433048433048;-1.3128225613224298;0.25;-0.29084848242045463;0.25;2.6816333511069117;0.02597556741549149;-1.1882700245361815;0.25;8.6085996463489;0.001;31.80666548208603;0.001
20;107;760.0;0.07373219373219372;0.013471744808881565;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.48148148148148145;0.00333382007458774;0.07407407407407407;0.9999999310621962;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.06575498575498576;0.40437284149364294;0.3048433048433048;-1.280977065762882;0.25;-0.3925705719499053;0.25;3.171241896892463;0.016704344277967874;-1.1882700245361815;0.25;0.019979820814281;0.25;31.891568430898477;0.001
21;107;1048.0;0.06632478632478633;0.012267806953160942;0.018691588785046728;0.9999999999999998;0.18518518518518517;0.7536974563793281;0.48148148148148145;0.00333382007458774;0.1111111111111111;0.9973888598742788;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.06586894586894587;0.4131226389158351;0.3048433048433048;-1.2213738860244032;0.25;0.672138186286639;0.17425831603507685;3.4087696806762224;0.013526212234114923;-1.039511185160468;0.25;-0.017817119818479762;0.25;31.43732806634087;0.001
22;107;884.0;0.07726495726495726;0.02838412961175382;0.009345794392523364;0.9999999999999997;0.5185185185185185;0.0011383775864635356;0.4444444444444444;0.00889018684023524;0.07407407407407407;0.9999999310621962;0.4074074074074074;0.02166982723648196;1.0;1.027253325734171e-15;0.070997150997151;0.3957352532003615;0.3048433048433048;-1.3162065132031675;0.25;10.082067618634875;0.001;3.405713169552594;0.013562817833803397;-1.2058226125063294;0.25;6.2230917893600814;0.001297518783529781;31.169748462069638;0.001
23;107;1619.0;0.06849002849002848;0.006050759193728554;0.028037383177570093;0.999999999999476;0.1111111111111111;0.9973888598742788;0.4444444444444444;0.00889018684023524;0.07407407407407407;0.9999999310621962;0.4074074074074074;0.02166982723648196;1.0;1.027253325734171e-15;0.06723646723646724;0.3987552600430954;0.3048433048433048;-1.1579586198114409;0.25;-0.29084848242045463;0.25;2.6816333511069117;0.02597556741549149;-1.1882700245361815;0.25;6.422031441544324;0.0011114405826410422;31.80666548208603;0.001
24;107;912.0;0.087008547008547;0.022760188020694676;0.009345794392523364;0.9999999999999997;0.5185185185185185;0.0011383775864635356;0.5185185185185185;0.0011383775864635356;0.1111111111111111;0.9973888598742788;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.08660968660968661;0.3461520559969334;0.3048433048433048;-1.2277980073614747;0.25;10.092740783500481;0.001;6.441166774995395;0.0010950976665155482;-1.2260058935715632;0.25;8.629158584135403;0.001;31.19531611203815;0.001
25;107;559.0;0.06290598290598291;0.0266291149201485;0.028037383177570093;0.999999999999476;0.4444444444444444;0.00889018684023524;0.4444444444444444;0.00889018684023524;0.07407407407407407;0.9999999310621962;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.0627920227920228;0.4210054496922895;0.3048433048433048;-0.3528019504220902;0.25;7.270999995754207;0.001;2.221035012070319;0.03966422455380871;-1.2058226125063294;0.25;7.350452351334306;0.001;31.43163388405238;0.001
26;107;801.0;0.10108262108262107;0.021163322453997456;0.009345794392523364;0.9999999999999997;0.48148148148148145;0.00333382007458774;0.48148148148148145;0.00333382007458774;0.07407407407407407;0.9999999310621962;0.5555555555555556;0.00035235496723871337;1.0;1.027253325734171e-15;0.08284900284900285;0.35473269729398316;0.3048433048433048;-1.2248006059401884;0.25;8.628582983954972;0.001;4.7373058450807575;0.004315055790357156;-1.1910758544323923;0.25;11.496407116854076;0.001;31.425332702914567;0.001
